Value,Label,Active,Default
"Add Both","Add Both","true","false"
"Add Header","Add Header","true","false"
"Add Line","Add Line","true","false"
"Change Both","Change Both","true","false"
"Change Header","Change Header","true","false"
"Change Line","Change Line","true","false"
"Clone Both","Clone Both","true","false"
"Clone Line","Clone Line","true","false"
"Close All Lines Short","Close All Lines Short","true","false"
"Close Line Short","Close Line Short","true","false"
"Delete Both","Delete Both","true","false"
"Delete Header","Delete Header","true","false"
"Delete Line","Delete Line","true","false"
"Revert to Current Spot Rate","Revert to Current Spot Rate","true","false"
"Sever from Sales Order","Sever from Sales Order","true","false"
"Submit to Vendor","Submit to Vendor","true","false"
"Use Override Schedule","Use Override Schedule","true","false"
