Value,Label,Active,Default
"Allocate PO Components","Allocate PO Components","true","false"
"Allocate Sales Order Line","Allocate Sales Order Line","true","false"
"Allocate WO Components","Allocate WO Components","true","false"
"Apply Prepayments to Sales Invoice","Apply Prepayments to Sales Invoice","true","false"
"Approve Sales Invoice","Approve Sales Invoice","true","false"
"Approve Sales Invoice Batch","Approve Sales Invoice Batch","true","false"
"Archive a Closed Work Order","Archive a Closed Work Order","true","false"
"Avalara Sales Invoice Tax Calculation","Avalara Sales Invoice Tax Calculation","true","false"
"Avalara Tax Calculation","Avalara Tax Calculation","true","false"
"Change RTV to Receipt Reversal","Change RTV to Receipt Reversal","true","false"
"Close PO AP Batch","Close PO AP Batch","true","false"
"Close PO-AP Match Batch","Close PO-AP Match Batch","true","false"
"Close PO-AP Match Invoice","Close PO-AP Match Invoice","true","false"
"Close Sales Invoice Batch","Close Sales Invoice Batch","true","false"
"Complete Disassembly WO","Complete Disassembly WO","true","false"
"Create Invoice for Shipper","Create Invoice for Shipper","true","false"
"Create Packing Slip Detail","Create Packing Slip Detail","true","false"
"Create Picklist Detail for Sales Order","Create Picklist Detail for Sales Order","true","false"
"Create Sales Invoice","Create Sales Invoice","true","false"
"Create WIP Values By Date","Create WIP Values By Date","true","false"
"Credit Memo for RMA","Credit Memo for RMA","true","false"
"Credit Memo for Sales Invoice","Credit Memo for Sales Invoice","true","false"
"Deallocate PO Components","Deallocate PO Components","true","false"
"Deallocate Sales Order Line","Deallocate Sales Order Line","true","false"
"Deallocate WO Components","Deallocate WO Components","true","false"
"Deapprove Sales Invoice Batch","Deapprove Sales Invoice Batch","true","false"
"Delete PO Components","Delete PO Components","true","false"
"Delete WO Components","Delete WO Components","true","false"
"Delete WO Operations","Delete WO Operations","true","false"
"Delete WO Picklist","Delete WO Picklist","true","false"
"Derived Component Receipt","Derived Component Receipt","true","false"
"Derived Component Receipt Reversal","Derived Component Receipt Reversal","true","false"
"Email Packing Slip","Email Packing Slip","true","false"
"Email Purchase Order","Email Purchase Order","true","false"
"Email RMA","Email RMA","true","false"
"Email Sales Invoice","Email Sales Invoice","true","false"
"Email Sales Order Acknowledgement","Email Sales Order Acknowledgement","true","false"
"Email SO Picklist","Email SO Picklist","true","false"
"Export Configuration Session","Export Configuration Session","true","false"
"Extract Components","Extract Components","true","false"
"Extract Operations","Extract Operations","true","false"
"Extract PO Components","Extract PO Components","true","false"
"Firm All Sales Order Lines","Firm All Sales Order Lines","true","false"
"FYDATA","FYDATA","true","false"
"Generate Recurring Billings","Generate Recurring Billings","true","false"
"Generate WO Picklist","Generate WO Picklist","true","false"
"Inspection Order Final Disposition","Inspection Order Final Disposition","true","false"
"Inventory Cost Adjust","Inventory Cost Adjust","true","false"
"Labor Booking","Labor Booking","true","false"
"Labor Booking Reversal","Labor Booking Reversal","true","false"
"Labor Work Order - Recall","Labor Work Order - Recall","true","false"
"Labor Work Order - Release","Labor Work Order - Release","true","false"
"Loc Add","Loc Add","true","false"
"Loc Adjust","Loc Adjust","true","false"
"Loc Scrap","Loc Scrap","true","false"
"PO AP Match Using Detail","PO AP Match Using Detail","true","false"
"PO Authorization","PO Authorization","true","false"
"PO Authorization Reversal","PO Authorization Reversal","true","false"
"PO Close","PO Close","true","false"
"PO Close Reversal","PO Close Reversal","true","false"
"PO Issue","PO Issue","true","false"
"PO Issue Reversal","PO Issue Reversal","true","false"
"PO Receipt","PO Receipt","true","false"
"PO Receipt Reversal","PO Receipt Reversal","true","false"
"PO Receipt Split","PO Receipt Split","true","false"
"Prepayment Application Adjustment","Prepayment Application Adjustment","true","false"
"Prepayment Close Out","Prepayment Close Out","true","false"
"Prepayment Create Credit Note","Prepayment Create Credit Note","true","false"
"Prepayment Recall","Prepayment Recall","true","false"
"Prepayment Release","Prepayment Release","true","false"
"Process Async POLOADERs","Process Async POLOADERs","true","false"
"Process Async SOAPIs","Process Async SOAPIs","true","false"
"Process BULK Async SOAPIs","Process BULK Async SOAPIs","true","false"
"Qty Complete at Operation Reversal","Qty Complete at Operation Reversal","true","false"
"Reopen PO AP Batch","Reopen PO AP Batch","true","false"
"Reopen Sales Invoice Batch","Reopen Sales Invoice Batch","true","false"
"Replace User","Replace User","true","false"
"Restore an Archived Work Order","Restore an Archived Work Order","true","false"
"RMA Receipt","RMA Receipt","true","false"
"RMA Receipt Disposition","RMA Receipt Disposition","true","false"
"Sales Invoice Payment","Sales Invoice Payment","true","false"
"Sales Invoice Payment Reversal","Sales Invoice Payment Reversal","true","false"
"Sales Order Kit Component Pick (Issue)","Sales Order Kit Component Pick (Issue)","true","false"
"Sales Order Kit Component Reverse Issue","Sales Order Kit Component Reverse Issue","true","false"
"Sales Order Pack","Sales Order Pack","true","false"
"Sales Order Pack Reversal","Sales Order Pack Reversal","true","false"
"Sales Order Pack-Ship Reversal","Sales Order Pack-Ship Reversal","true","false"
"Sales Order Payment","Sales Order Payment","true","false"
"Sales Order Payment Authorization","Sales Order Payment Authorization","true","false"
"Sales Order Payment Cancel Authorization","Sales Order Payment Cancel Authorization","true","false"
"Sales Order Payment Reversal","Sales Order Payment Reversal","true","false"
"Sales Order Pick(Issue)","Sales Order Pick(Issue)","true","false"
"Sales Order Pick(Issue) Reversal","Sales Order Pick(Issue) Reversal","true","false"
"Sales Order Pick-Pack","Sales Order Pick-Pack","true","false"
"Sales Order Pick-Pack Reversal","Sales Order Pick-Pack Reversal","true","false"
"Sales Order Pick-Pack-Ship","Sales Order Pick-Pack-Ship","true","false"
"Sales Order Pick-Pack-Ship Reversal","Sales Order Pick-Pack-Ship Reversal","true","false"
"Sales Order Shipment","Sales Order Shipment","true","false"
"Sales Order Shipment Reversal","Sales Order Shipment Reversal","true","false"
"Std Costs - Cost Rollup","Std Costs - Cost Rollup","true","false"
"Std Costs - Derive PO Mtl Costs From PO Activity","Std Costs - Derive PO Mtl Costs From PO Activity","true","false"
"Std Costs - Set Sim PO Price From PO Derived Cost","Std Costs - Set Sim PO Price From PO Derived Cost","true","false"
"Std Costs - Set Std Cost From Sim","Std Costs - Set Std Cost From Sim","true","false"
"Transfer PO-AP Match Batch","Transfer PO-AP Match Batch","true","false"
"Transfer Sales Invoice","Transfer Sales Invoice","true","false"
"Transfer Sales Invoice Batch","Transfer Sales Invoice Batch","true","false"
"Un-Firm All Sales Order Lines","Un-Firm All Sales Order Lines","true","false"
"WO Close","WO Close","true","false"
"WO Issue","WO Issue","true","false"
"WO Issue Reversal","WO Issue Reversal","true","false"
"WO Receipt","WO Receipt","true","false"
"WO Receipt Reversal","WO Receipt Reversal","true","false"
"Work Order - Auto Serialize from Primary Component","Work Order - Auto Serialize from Primary Component","true","false"
